language,domain,tokenizer,flores_premium,domain_premium,domain_ci_lower,domain_ci_upper,n_sentences,rel_diff,flag
khm_Khmr,opus100,deepseek-v3,6.905374713839357,7.722195745323903,7.456399113026124,8.257223933099668,2000,0.1182877201214759,ok
khm_Khmr,opus100,gemma-2,5.4583369729524325,6.73346825155217,6.512547882882078,7.200287431100155,2000,0.233611681528342,ok
khm_Khmr,opus100,gpt-2,15.45654510144819,14.741454194674711,14.282566396978135,15.47777561819462,2000,0.046264601958589016,ok
khm_Khmr,opus100,gpt-4,8.8667440574414,9.881368379340913,9.55606712318999,10.576376438222995,2000,0.11443031571978116,ok
khm_Khmr,opus100,gpt-4o,3.3839279498679993,4.703471507478333,4.520131358731874,5.011316056981366,2000,0.38994434194788524,DIVERGES
khm_Khmr,opus100,llama-3,8.86964395555733,9.884724493388097,9.561091533304488,10.585095018597158,2000,0.11444433879386588,ok
khm_Khmr,opus100,mistral,6.280626898258208,7.703000558793756,7.427613008083666,8.257459547291894,2000,0.22647001383413035,ok
khm_Khmr,opus100,qwen2.5,6.606565572900867,7.854575762015066,7.591278752969516,8.386609905089616,2000,0.18890453373131538,ok
mal_Mlym,opus100,deepseek-v3,4.466952783397078,3.751538930334229,3.67907056490147,3.841140998646245,2000,0.1601570215207834,ok
mal_Mlym,opus100,gemma-2,3.2912263786440814,2.708418861568411,2.6476376105087924,2.788942111373284,2000,0.17707913404479197,ok
mal_Mlym,opus100,gpt-2,15.342344793410682,12.313090063829186,12.077146677892918,12.574696727655104,2000,0.19744405241645444,ok
mal_Mlym,opus100,gpt-4,9.04924675795549,7.389164811352673,7.253843698967038,7.548543078665687,2000,0.18344973797331637,ok
mal_Mlym,opus100,gpt-4o,1.972657690930738,1.9515020142881636,1.9078564492690475,2.017249495144388,2000,0.01072445398907136,ok
mal_Mlym,opus100,llama-3,9.04666942228958,7.305080414321587,7.171387321301357,7.4581401118638695,2000,0.19251162241841072,ok
mal_Mlym,opus100,mistral,11.039768106914542,9.07850785901924,8.901447880707828,9.277354004262197,2000,0.17765411636381248,ok
mal_Mlym,opus100,qwen2.5,7.350698698455579,6.140442419500124,6.024865654446381,6.276497997464991,2000,0.16464506689816258,ok
mal_Mlym,bible,deepseek-v3,4.466952783397078,3.7035385863243033,3.6640284051761927,3.7497836144214167,1565,0.1709026788709875,ok
mal_Mlym,bible,gemma-2,3.2912263786440814,2.7978490965107152,2.7690769734174583,2.831928708910182,1565,0.14990682055016452,ok
mal_Mlym,bible,gpt-2,15.342344793410682,12.429116664502914,12.279557067330087,12.594169516649323,1565,0.18988154471400995,ok
mal_Mlym,bible,gpt-4,9.04924675795549,7.671982017451724,7.5835370743931785,7.768195119659855,1565,0.15219661672867604,ok
mal_Mlym,bible,gpt-4o,1.972657690930738,1.7932874487106745,1.7739108083795754,1.8136576459700997,1565,0.09092821478592834,ok
mal_Mlym,bible,llama-3,9.04666942228958,7.673905944044898,7.586212252552903,7.770125987801688,1565,0.15174241637064886,ok
mal_Mlym,bible,mistral,11.039768106914542,9.797190275830987,9.682346298797729,9.92290941164302,1565,0.11255470396205972,ok
mal_Mlym,bible,qwen2.5,7.350698698455579,6.270939847335193,6.19858621928118,6.348480503084895,1565,0.1468920024360744,ok
sin_Sinh,opus100,deepseek-v3,4.631488010757353,3.3265714966827553,3.2667706942016776,3.3882206995435276,2000,0.2817488701349816,ok
sin_Sinh,opus100,gemma-2,4.141722411836292,3.000788576210981,2.9457316065620383,3.0587405244994788,2000,0.27547327468512345,ok
sin_Sinh,opus100,gpt-2,12.81148981294055,9.144602251178592,8.97311494462025,9.32415343238172,2000,0.2862186689683921,ok
sin_Sinh,opus100,gpt-4,8.789215421310667,6.342544539610835,6.224333696294329,6.468271396286484,2000,0.2783719324670937,ok
sin_Sinh,opus100,gpt-4o,2.726060375833138,2.2170696038464497,2.178679594561935,2.258316807332136,2000,0.18671294902304963,ok
sin_Sinh,opus100,llama-3,8.741506528815806,6.324987642328342,6.209997614971295,6.450164728159518,2000,0.27644192434354053,ok
sin_Sinh,opus100,mistral,7.551607419628067,5.590045162760271,5.492282082898495,5.699757370107892,2000,0.2597542679151093,ok
sin_Sinh,opus100,qwen2.5,6.989478074230431,5.010500258289118,4.917399372124292,5.107569442925223,2000,0.2831367084815137,ok
kan_Knda,opus100,deepseek-v3,3.7279902482102782,5.649752357539195,5.417709925349786,5.922055419783964,918,0.5154954764840145,DIVERGES
kan_Knda,opus100,gemma-2,3.3557528137979453,5.476498791779944,5.252596553339043,5.749074320987463,918,0.6319732398828861,DIVERGES
kan_Knda,opus100,gpt-2,13.754869004197282,16.18454203130532,15.535525174938462,16.940269010662007,918,0.17664094266303998,ok
kan_Knda,opus100,gpt-4,8.97321064448313,12.039736110514303,11.549579250506893,12.611196811793745,918,0.3417422801632904,ok
kan_Knda,opus100,gpt-4o,1.9855251097116584,4.101120583364393,3.9097481866082098,4.32851060862358,918,1.065509301949833,DIVERGES
kan_Knda,opus100,llama-3,8.973941710384494,12.016919796354985,11.526656913618545,12.595149878256759,918,0.33909046706300844,ok
kan_Knda,opus100,mistral,6.386550260919134,8.96189646725985,8.594366959795975,9.36988096850312,918,0.40324527344596195,DIVERGES
kan_Knda,opus100,qwen2.5,7.038459482820471,9.50438628063168,9.122633090859706,9.956089505885258,918,0.3503503577494568,DIVERGES
kan_Knda,bible,deepseek-v3,3.7279902482102782,3.3978224050139074,3.110232593462095,4.165860601570538,118,0.0885645672906137,ok
kan_Knda,bible,gemma-2,3.3557528137979453,3.230266345310315,2.947059791360979,4.033580129026867,118,0.037394431428818035,ok
kan_Knda,bible,gpt-2,13.754869004197282,11.936449921865528,11.046215096710654,13.875448536180665,118,0.13220184661714088,ok
kan_Knda,bible,gpt-4,8.97321064448313,8.302630990772816,7.508630727913247,10.492445554444297,118,0.07473129521623313,ok
kan_Knda,bible,gpt-4o,1.9855251097116584,1.974864040602632,1.801472791987471,2.480371997834048,118,0.005369395258151397,ok
kan_Knda,bible,llama-3,8.973941710384494,8.315374237339377,7.51993464404017,10.501462619311237,118,0.07338664483222955,ok
kan_Knda,bible,mistral,6.386550260919134,5.977322610102585,5.470909423658077,7.30520094493491,118,0.06407647855223389,ok
kan_Knda,bible,qwen2.5,7.038459482820471,6.536556890576171,5.90869537469934,8.263112705264273,118,0.07130858584457977,ok
kat_Geor,opus100,deepseek-v3,3.961773654250239,3.3896732976003903,3.326557565132822,3.4534207615605514,2000,0.14440510906929083,ok
kat_Geor,opus100,gemma-2,3.7339121483378577,2.9768395934863925,2.9188458668161688,3.034911827445873,2000,0.20275585626417972,ok
kat_Geor,opus100,gpt-2,13.949729993168871,7.884851581982868,7.734446921282644,8.037374381472716,2000,0.4347667240983123,DIVERGES
kat_Geor,opus100,gpt-4,9.88488868085584,5.774531871750992,5.667492171958017,5.885567873713759,2000,0.41582226586581755,DIVERGES
kat_Geor,opus100,gpt-4o,1.8044448510929296,2.692172533021207,2.642450533202359,2.7439299103251145,2000,0.4919672005440298,DIVERGES
kat_Geor,opus100,llama-3,9.888202604746953,5.771531640942381,5.6652458794765925,5.882193531373656,2000,0.4163214618831043,DIVERGES
kat_Geor,opus100,mistral,4.937186330189667,3.919272615597279,3.8451171028861824,3.994267338183781,2000,0.20617283742525558,ok
kat_Geor,opus100,qwen2.5,5.278326495081939,3.609035370995082,3.543347104869566,3.6782963628078993,2000,0.3162538591809757,ok
tel_Telu,opus100,deepseek-v3,3.800731592248885,3.810323398512964,3.699501500469101,3.9297795367051958,2000,0.00252367367473153,ok
tel_Telu,opus100,gemma-2,2.9160807953423937,3.0595502007655746,2.9551604027817016,3.169687331834293,2000,0.04919939312118247,ok
tel_Telu,opus100,gpt-2,13.173593311006508,11.172776909482243,10.857275126234358,11.50607923027169,2000,0.15188083875737893,ok
tel_Telu,opus100,gpt-4,8.426995195314179,7.756302795013021,7.538477804764605,7.994213211327024,2000,0.07958855852606823,ok
tel_Telu,opus100,gpt-4o,1.9552392538842949,2.52374167140543,2.434390238356903,2.624928062926198,2000,0.29075849228770523,ok
tel_Telu,opus100,llama-3,8.429791893267565,7.752843072790798,7.536148760861886,7.990792917941943,2000,0.08030433361200892,ok
tel_Telu,opus100,mistral,7.350236819552746,6.920128869270202,6.714795591377559,7.127239674242802,2000,0.05851620306142956,ok
tel_Telu,opus100,qwen2.5,7.144384802149118,6.691647378732749,6.497798069943462,6.904364036483081,2000,0.06336968625768596,ok
tel_Telu,bible,deepseek-v3,3.800731592248885,3.225029840743491,3.056813963758229,3.4391615736370986,88,0.15147129902029005,ok
tel_Telu,bible,gemma-2,2.9160807953423937,2.533072870635784,2.4016337041206697,2.6874459359590195,88,0.13134338572455034,ok
tel_Telu,bible,gpt-2,13.173593311006508,10.725974923841106,10.110287966192981,11.389530245634617,88,0.1857973241909952,ok
tel_Telu,bible,gpt-4,8.426995195314179,7.0201358407753425,6.628277362757607,7.4902550262806455,88,0.16694673747068456,ok
tel_Telu,bible,gpt-4o,1.9552392538842949,1.7404706819969578,1.6581756259107738,1.846961385179287,88,0.10984260440796494,ok
tel_Telu,bible,llama-3,8.429791893267565,7.021317772878327,6.628628595452759,7.4919387355494935,88,0.16708290527481612,ok
tel_Telu,bible,mistral,7.350236819552746,6.467486353761617,6.103426571334593,6.868977147174421,88,0.12009823458243939,ok
tel_Telu,bible,qwen2.5,7.144384802149118,6.014968179565657,5.683250813161197,6.415433280022227,88,0.15808451726224473,ok
guj_Gujr,opus100,deepseek-v3,3.9108310148818712,4.400183602744317,4.3141238131909505,4.493508616448939,2000,0.12512752046823655,ok
guj_Gujr,opus100,gemma-2,3.0619795241337955,3.768725487169087,3.6895265952507934,3.8503105482527085,2000,0.23081341905289954,ok
guj_Gujr,opus100,gpt-2,12.341274721735092,11.88271228869643,11.625600121868727,12.144160768126257,2000,0.037156812677628416,ok
guj_Gujr,opus100,gpt-4,7.763391329622801,8.626620398457026,8.428929669978118,8.818265731234897,2000,0.11119226536222625,ok
guj_Gujr,opus100,gpt-4o,1.8062670199851203,2.595590116050941,2.5388539170225295,2.6643191286223455,2000,0.4369913680161878,DIVERGES
guj_Gujr,opus100,llama-3,7.766271894265612,8.626620398457026,8.428929669978118,8.818265731234897,2000,0.1107801163678895,ok
guj_Gujr,opus100,mistral,8.815999903293674,9.298254189355525,9.09975481145802,9.501835607476599,2000,0.05470216553447099,ok
guj_Gujr,opus100,qwen2.5,6.856524199536236,7.5008921127279535,7.328611004788007,7.666173182478037,2000,0.09397879952575705,ok
guj_Gujr,bible,deepseek-v3,3.9108310148818712,3.1294241110341616,2.9967779031924016,3.274079044789781,123,0.19980584711388058,ok
guj_Gujr,bible,gemma-2,3.0619795241337955,2.5288193565424337,2.4239757350707922,2.6419928727108624,123,0.17412270832940585,ok
guj_Gujr,bible,gpt-2,12.341274721735092,9.616717948376271,9.194607556252388,10.086380779280919,123,0.2207678570318519,ok
guj_Gujr,bible,gpt-4,7.763391329622801,6.258370522111928,5.991233419051226,6.5420054891096,123,0.19386125774288354,ok
guj_Gujr,bible,gpt-4o,1.8062670199851203,1.555342195329978,1.5002460248522071,1.6125648085473623,123,0.13891900913808933,ok
guj_Gujr,bible,llama-3,7.766271894265612,6.260373152432348,5.994331768747619,6.543497400935788,123,0.19390239774442816,ok
guj_Gujr,bible,mistral,8.815999903293674,7.411299633545731,7.086128707043922,7.763456696659631,123,0.15933533180089357,ok
guj_Gujr,bible,qwen2.5,6.856524199536236,5.654380333709858,5.414717309972609,5.916156880045972,123,0.1753284653917927,ok
pan_Guru,opus100,deepseek-v3,4.525267215868683,4.791378758365126,4.665747332944152,4.936269409945125,2000,0.05880570799515965,ok
pan_Guru,opus100,gemma-2,3.2805364319023917,3.9758759167655273,3.8722569671671847,4.079927801375418,2000,0.21195908025929355,ok
pan_Guru,opus100,gpt-2,7.976219367965666,7.296120705825362,7.103494735077435,7.504206187326145,2000,0.08526579207083211,ok
pan_Guru,opus100,gpt-4,7.948821989442483,7.975209484822626,7.773008198861963,8.198053890284363,2000,0.003319673709537131,ok
pan_Guru,opus100,gpt-4o,2.6452132940303676,3.465818324495327,3.3736782915430017,3.567194942074403,2000,0.3102226320716271,ok
pan_Guru,opus100,llama-3,7.906158577671933,7.966735028796591,7.764182222558687,8.188718651470179,2000,0.007661932217718723,ok
pan_Guru,opus100,mistral,10.60296428717284,9.992969015415186,9.719673358168501,10.300318596192474,2000,0.05753063532389795,ok
pan_Guru,opus100,qwen2.5,7.400330886194392,7.310610534656267,7.1243198717148815,7.519949205164184,2000,0.012123829720303653,ok
